StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Survey Information,Brand trust_1,Brand trust_2,Brand trust_3,Brand trust_4,scarcity credibility_1,scarcity credibility_2,scarcity credibility_3,scarcity credibility_4,scarcity credibility_5,Socialproof credibil_1,Socialproof credibil_2,Socialproof credibil_3,Socialproof credibil_4,Socialproof credibil_5,Purchase intention_1,Purchase intention_2,Purchase intention_3,Purchase intention_4,Purchase intention_5,Age,Gender,Product familiarity,Q_RecaptchaStatus,Q_RecaptchaError,Q_BallotBoxStuffing,Q_TerminateFlag,cue_type,condition,Q_StraightliningCount,Q_StraightliningPercentage,Q_StraightliningQuestions
2026-05-21 13:19:00,2026-05-21 13:20:14,0,100,73,1,2026-05-21 13:20:15,R_2vWgZlpnDQRBkXf,anonymous,EN,1,1,5,3,5,4,,,,,,5,5,5,5,7,5,4,6,5,4,1,1,6,complete,,,Complete,social_proof,lowtrust_socialproof,0,0,
2026-05-21 13:20:01,2026-05-21 13:21:50,0,100,109,1,2026-05-21 13:21:51,R_2CfSpXBRlnBR3cl,anonymous,EN,1,1,1,1,1,2,2,2,2,2,7,,,,,,2,2,2,2,2,1,2,5,complete,,,Complete,scarcity,lowtrust_scarcity,1,0.3333333333333333,QID16
2026-05-21 13:26:47,2026-05-21 13:32:13,0,100,325,1,2026-05-21 13:32:13,R_8Gf9wytpYFB58S4,anonymous,EN,1,1,6,5,6,6,4,4,4,4,7,,,,,,2,2,3,2,1,2,2,7,complete,,,Complete,scarcity,hightrust_scarcity,0,0,
2026-05-21 13:32:54,2026-05-21 13:34:17,0,100,82,1,2026-05-21 13:34:17,R_8ctvg706KL5O70l,anonymous,EN,1,1,6,6,7,5,,,,,,6,6,4,5,6,4,5,4,5,5,1,1,6,complete,,,Complete,social_proof,lowtrust_socialproof,0,0,
2026-05-21 13:33:23,2026-05-21 13:37:00,0,100,216,1,2026-05-21 13:37:00,R_87gjqiDsJuNUWV8,anonymous,EN,1,1,6,5,6,6,,,,,,4,4,3,4,7,6,3,3,4,4,5,1,6,complete,,,Complete,social_proof,hightrust_socialproof,0,0,
2026-05-21 13:36:59,2026-05-21 13:44:15,0,100,436,1,2026-05-21 13:44:15,R_2WOPzgWKk6cmGaJ,anonymous,EN,1,1,7,7,7,7,1,1,1,1,7,,,,,,4,4,5,4,4,4,2,3,complete,,,Complete,scarcity,lowtrust_scarcity,1,0.3333333333333333,QID10
2026-05-21 13:44:49,2026-05-21 13:49:27,0,100,278,1,2026-05-21 13:49:28,R_2IgUr8e2ZgnIUxC,anonymous,EN,1,1,7,6,7,7,4,4,3,3,7,,,,,,7,7,6,7,7,4,2,7,complete,,,Complete,scarcity,hightrust_scarcity,0,0,
2026-05-21 13:53:28,2026-05-21 13:56:08,0,100,160,1,2026-05-21 13:56:09,R_8ff02NKaoSL5rXr,anonymous,EN,1,1,6,5,5,5,,,,,,6,6,6,6,7,4,4,4,4,4,1,2,4,complete,,,Complete,social_proof,lowtrust_socialproof,1,0.3333333333333333,QID16
2026-05-21 13:52:32,2026-05-21 13:56:15,0,100,222,1,2026-05-21 13:56:15,R_8mQ2Ku76BoXACIY,anonymous,EN,1,1,5,4,4,6,,,,,,4,4,4,4,7,5,4,5,5,4,3,2,2,complete,,,Complete,social_proof,hightrust_socialproof,0,0,
2026-05-21 14:00:57,2026-05-21 14:03:26,0,100,148,1,2026-05-21 14:03:26,R_8N3OO5xrUSA1QpI,anonymous,EN,0.8999999761581421,1,4,4,4,4,4,5,4,4,7,,,,,,5,5,4,4,4,1,2,6,complete,,,Complete,scarcity,lowtrust_scarcity,1,0.3333333333333333,QID10
2026-05-21 14:05:13,2026-05-21 14:08:42,0,100,208,1,2026-05-21 14:08:42,R_2dG8vFF5v4ecFZC,anonymous,EN,1,1,4,2,4,5,,,,,,3,2,3,4,7,5,4,1,6,2,3,1,5,complete,,,Complete,social_proof,hightrust_socialproof,0,0,
2026-05-21 14:11:53,2026-05-21 14:14:28,0,100,155,1,2026-05-21 14:14:28,R_8vkujUNZgwcWIb6,anonymous,EN,1,1,6,5,5,6,2,1,2,2,7,,,,,,6,6,5,5,5,1,1,5,complete,,,Complete,scarcity,hightrust_scarcity,0,0,
2026-05-21 13:57:05,2026-05-21 14:19:40,0,100,1355,1,2026-05-21 14:19:40,R_2ezb40wunntmxg9,anonymous,EN,0.800000011920929,1,6,3,6,6,,,,,,6,6,6,6,7,5,2,2,3,2,1,1,6,complete,,,Complete,social_proof,lowtrust_socialproof,0,0,
2026-05-21 14:14:43,2026-05-21 14:27:53,0,100,789,1,2026-05-21 14:27:53,R_8OmWguQiFWsFE1X,anonymous,EN,0.800000011920929,1,4,4,4,4,3,3,3,3,3,,,,,,2,2,2,2,2,6,2,7,complete,,,Complete,scarcity,hightrust_scarcity,3,1,"QID10,QID11,QID16"
2026-05-21 14:28:04,2026-05-21 14:29:56,0,100,112,1,2026-05-21 14:29:56,R_2hajCdPRhPuxhcJ,anonymous,EN,1,1,5,5,4,3,,,,,,5,4,3,4,7,6,5,4,5,4,1,2,6,complete,,,Complete,social_proof,lowtrust_socialproof,0,0,
2026-05-21 13:22:27,2026-05-21 13:32:23,0,5,596,0,2026-05-21 14:32:24,R_8KEaSbkZiFTvMLn,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,complete,,,,,,0,0,
2026-05-21 14:31:03,2026-05-21 14:33:11,0,100,127,1,2026-05-21 14:33:11,R_8EPZJieWv4wDg2J,anonymous,EN,1,1,4,4,4,6,,,,,,4,5,4,4,7,4,4,1,1,1,1,2,5,complete,,,Complete,social_proof,hightrust_socialproof,0,0,
2026-05-21 14:32:29,2026-05-21 14:34:33,0,100,124,1,2026-05-21 14:34:34,R_80wuaWgMerNG27u,anonymous,EN,1,1,3,2,4,4,4,4,3,3,7,,,,,,3,1,1,1,1,1,2,6,complete,,,Complete,scarcity,lowtrust_scarcity,0,0,
2026-05-21 15:01:38,2026-05-21 15:05:26,0,100,228,1,2026-05-21 15:05:27,R_2MMDjcFkVym58Ar,anonymous,EN,1,1,4,4,5,3,4,3,5,4,7,,,,,,3,3,4,4,3,1,2,5,complete,,,Complete,scarcity,lowtrust_scarcity,0,0,
2026-05-21 15:15:41,2026-05-21 15:18:39,0,100,177,1,2026-05-21 15:18:39,R_2tPijd2fxtjSsLv,anonymous,EN,0.8999999761581421,1,5,4,4,5,,,,,,5,5,5,5,7,4,3,3,4,4,1,2,6,complete,,,Complete,social_proof,hightrust_socialproof,0,0,
2026-05-21 15:18:30,2026-05-21 15:28:30,0,100,599,1,2026-05-21 15:28:30,R_8uHOm841vaaotC9,anonymous,EN,1,1,6,6,6,6,,,,,,5,5,4,5,7,4,4,4,4,4,7,2,4,complete,,,Complete,social_proof,lowtrust_socialproof,2,0.6666666666666666,"QID10,QID16"
2026-05-21 15:25:52,2026-05-21 15:32:10,0,100,378,1,2026-05-21 15:32:11,R_2EoZsK7mHGJL6IE,anonymous,EN,0.8999999761581421,1,4,6,4,4,,,,,,5,5,5,5,7,4,2,2,2,2,3,1,5,complete,,,Complete,social_proof,lowtrust_socialproof,0,0,
2026-05-21 15:34:55,2026-05-21 15:40:14,0,100,319,1,2026-05-21 15:40:14,R_29vnOVQoNRqqljP,anonymous,EN,1,1,6,3,6,5,,,,,,6,5,4,5,7,6,5,6,4,5,1,1,5,complete,,,Complete,social_proof,hightrust_socialproof,0,0,
2026-05-21 14:49:04,2026-05-21 14:49:35,0,5,30,0,2026-05-21 15:49:36,R_81u42RTcTr6koEA,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,complete,,,,,,0,0,
2026-05-21 15:09:40,2026-05-21 15:10:09,0,58,28,0,2026-05-21 16:10:12,R_2iJYlLFHiGpASY1,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,complete,,,,scarcity,hightrust_scarcity,0,0,
2026-05-21 16:07:54,2026-05-21 16:11:20,0,100,205,1,2026-05-21 16:11:20,R_8oRDWaFst9XvC5X,anonymous,EN,1,1,3,3,2,3,2,3,3,3,7,,,,,,3,3,2,2,2,1,1,4,complete,,,Complete,scarcity,hightrust_scarcity,0,0,
2026-05-21 16:19:55,2026-05-21 16:22:43,0,100,167,1,2026-05-21 16:22:43,R_2VQh03yyZyxg7DK,anonymous,EN,0.8999999761581421,1,5,5,5,5,1,1,1,1,7,,,,,,1,1,1,1,1,1,1,6,complete,,,Complete,scarcity,lowtrust_scarcity,2,0.6666666666666666,"QID10,QID16"
2026-05-21 15:27:14,2026-05-21 15:27:26,0,5,11,0,2026-05-21 16:27:27,R_27yezBpqrKdvPQN,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,complete,,,,,,0,0,
2026-05-21 16:28:55,2026-05-21 16:32:36,0,100,220,1,2026-05-21 16:32:36,R_8DnH6DIPlgZkY8p,anonymous,EN,1,1,4,5,4,4,4,4,4,4,7,,,,,,4,4,3,4,3,3,1,6,complete,,,Complete,scarcity,hightrust_scarcity,0,0,
2026-05-21 16:29:43,2026-05-21 16:33:28,0,100,225,1,2026-05-21 16:33:28,R_8DZcfHzJDQcIECu,anonymous,EN,1,1,1,2,1,2,,,,,,1,3,2,2,7,2,3,2,2,2,1,1,4,complete,,,Complete,social_proof,lowtrust_socialproof,0,0,
2026-05-21 16:34:50,2026-05-21 16:37:41,0,100,171,1,2026-05-21 16:37:42,R_2Yy42bxLSlE2uCP,anonymous,EN,0.8999999761581421,1,5,4,5,5,4,4,4,5,1,,,,,,4,4,4,4,4,4,2,5,complete,,,Complete,scarcity,lowtrust_scarcity,1,0.3333333333333333,QID16
2026-05-21 17:08:27,2026-05-21 17:11:32,0,100,185,1,2026-05-21 17:11:32,R_2G7E090xf44gJ2N,anonymous,EN,1,1,6,6,4,5,,,,,,6,6,5,6,7,5,5,5,5,5,1,2,6,complete,,,Complete,social_proof,hightrust_socialproof,1,0.3333333333333333,QID16
2026-05-21 20:24:22,2026-05-21 20:36:32,0,100,729,1,2026-05-21 20:36:32,R_9GHtHFbRfEtWc99,anonymous,EN,0.800000011920929,1,5,4,5,5,,,,,,5,5,5,5,7,3,3,3,4,3,1,2,5,complete,,,Complete,social_proof,hightrust_socialproof,0,0,
2026-05-21 20:03:14,2026-05-21 20:03:52,0,42,37,0,2026-05-21 21:03:57,R_9MfVXtmAT6kekVc,anonymous,EN,0.800000011920929,1,,,,,,,,,,,,,,,,,,,,,,,complete,,,,scarcity,lowtrust_scarcity,0,0,
2026-05-21 21:28:32,2026-05-21 21:36:04,0,100,452,1,2026-05-21 21:36:05,R_21TaKlbHFGcYSZB,anonymous,EN,1,1,7,7,7,7,,,,,,7,6,7,6,7,7,5,7,7,7,5,2,7,complete,,,Complete,social_proof,lowtrust_socialproof,1,0.3333333333333333,QID10
2026-05-21 22:57:47,2026-05-21 22:59:02,0,100,75,1,2026-05-21 22:59:02,R_2Vgoeu1pRNHKbmC,anonymous,EN,1,1,5,5,6,6,1,1,1,1,7,,,,,,5,4,5,5,5,1,1,3,complete,,,Complete,scarcity,hightrust_scarcity,0,0,
2026-05-21 23:50:53,2026-05-21 23:53:11,0,100,137,1,2026-05-21 23:53:11,R_8ocHJqz1hE6fd78,anonymous,EN,1,1,4,4,3,3,,,,,,5,3,5,5,7,5,6,4,2,4,1,1,4,complete,,,Complete,social_proof,hightrust_socialproof,0,0,
2026-05-22 00:07:56,2026-05-22 00:12:53,0,100,297,1,2026-05-22 00:12:53,R_2jCkgSbHRBiYBDH,anonymous,EN,0.4000000059604645,1,4,4,4,4,,,,,,5,5,5,5,7,4,4,2,4,2,2,2,7,complete,,,Complete,social_proof,lowtrust_socialproof,1,0.3333333333333333,QID10
2026-05-21 23:21:30,2026-05-21 23:23:02,0,58,91,0,2026-05-22 00:23:05,R_8pmuEAUnUUWUcj1,anonymous,EN,0.20000000298023224,1,,,,,,,,,,,,,,,,,,,,,,,complete,,,,scarcity,hightrust_scarcity,0,0,
2026-05-22 00:30:09,2026-05-22 00:32:59,0,100,170,1,2026-05-22 00:32:59,R_2dWdLlInbvDXAd1,anonymous,EN,1,1,4,4,4,4,2,4,4,1,7,,,,,,1,1,1,1,2,1,2,2,complete,,,Complete,scarcity,lowtrust_scarcity,1,0.3333333333333333,QID10
2026-05-22 01:19:56,2026-05-22 01:21:11,0,100,74,1,2026-05-22 01:21:11,R_2IyOAa5WvknliZl,anonymous,EN,1,1,6,6,6,6,,,,,,6,6,6,6,7,5,5,5,5,5,1,2,6,complete,,,Complete,social_proof,lowtrust_socialproof,2,0.6666666666666666,"QID10,QID16"
2026-05-22 01:32:46,2026-05-22 01:35:15,0,100,149,1,2026-05-22 01:35:17,R_8S6bmTCBDTZjsRI,anonymous,EN,1,1,3,3,3,3,,,,,,4,5,3,4,7,3,5,1,2,2,1,2,7,complete,,,Complete,social_proof,hightrust_socialproof,1,0.3333333333333333,QID10
2026-05-22 01:45:34,2026-05-22 01:47:52,0,100,138,1,2026-05-22 01:47:53,R_2MM9DujOpfbfEcQ,anonymous,EN,0.8999999761581421,1,6,6,6,6,5,5,5,5,7,,,,,,6,6,6,6,6,1,2,4,complete,,,Complete,scarcity,hightrust_scarcity,2,0.6666666666666666,"QID10,QID16"
2026-05-22 01:49:56,2026-05-22 01:52:35,0,100,158,1,2026-05-22 01:52:36,R_8oiEP9Y7wznKSUn,anonymous,EN,0.800000011920929,1,5,4,5,5,2,2,1,2,7,,,,,,3,3,4,3,3,1,2,5,complete,,,Complete,scarcity,lowtrust_scarcity,0,0,
2026-05-22 02:16:17,2026-05-22 02:21:19,0,100,302,1,2026-05-22 02:21:20,R_8uxi3Sp90iRyd3z,anonymous,EN,1,1,6,6,6,6,4,4,4,4,4,,,,,,4,4,3,4,3,1,2,6,complete,,,Complete,scarcity,lowtrust_scarcity,2,0.6666666666666666,"QID10,QID11"
2026-05-22 02:31:38,2026-05-22 02:36:08,0,100,269,1,2026-05-22 02:36:08,R_8kTCEOr6AnrQ2Qh,anonymous,EN,0.8999999761581421,1,4,1,4,4,3,3,5,6,7,,,,,,4,4,4,4,4,1,1,7,complete,,,Complete,scarcity,hightrust_scarcity,1,0.3333333333333333,QID16
2026-05-22 02:32:42,2026-05-22 02:37:43,0,100,300,1,2026-05-22 02:37:43,R_8c5ZKCszL4r6b6X,anonymous,EN,1,1,6,6,6,6,,,,,,6,6,6,6,7,5,5,4,5,5,1,2,4,complete,,,Complete,social_proof,hightrust_socialproof,1,0.3333333333333333,QID10
2026-05-22 02:36:51,2026-05-22 02:40:20,0,100,209,1,2026-05-22 02:40:21,R_8rUosbLBidZKvlI,anonymous,EN,1,1,4,4,4,4,,,,,,4,5,5,5,7,1,1,1,1,1,4,2,4,complete,,,Complete,social_proof,hightrust_socialproof,2,0.6666666666666666,"QID10,QID16"
2026-05-22 02:07:45,2026-05-22 02:08:27,0,58,41,0,2026-05-22 03:08:34,R_8VSc8CNMxgTyXkJ,anonymous,EN,0.800000011920929,1,,,,,,,,,,,,,,,,,,,,,,,complete,,,,social_proof,lowtrust_socialproof,0,0,
2026-05-22 03:07:03,2026-05-22 03:07:36,0,58,33,0,2026-05-22 04:07:39,R_2PKfW7IKRICSgRb,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,complete,,,,scarcity,lowtrust_scarcity,0,0,
2026-05-22 05:44:18,2026-05-22 05:47:50,0,100,211,1,2026-05-22 05:47:50,R_8ZnylcMRUrt4GFH,anonymous,EN,1,1,6,4,5,6,3,3,3,3,7,,,,,,3,2,2,1,1,1,1,2,complete,,,Complete,scarcity,hightrust_scarcity,0,0,
2026-05-22 09:34:59,2026-05-22 09:41:26,0,100,386,1,2026-05-22 09:41:27,R_2qdmzREhlIYHCB6,anonymous,EN,1,1,6,2,6,4,,,,,,5,5,4,5,7,6,5,5,6,7,1,1,7,complete,,,Complete,social_proof,lowtrust_socialproof,0,0,
2026-05-22 13:11:50,2026-05-22 13:16:05,0,100,254,1,2026-05-22 13:16:05,R_8lKwHF7oJwSUvoV,anonymous,EN,1,1,3,3,4,3,3,3,3,3,4,,,,,,3,3,5,2,4,5,2,5,complete,,,Complete,scarcity,hightrust_scarcity,0,0,
2026-05-22 15:16:57,2026-05-22 15:20:57,0,100,239,1,2026-05-22 15:20:57,R_8VkFCbwmOGmcbOn,anonymous,EN,1,1,6,4,6,5,,,,,,6,6,6,6,7,6,5,6,5,6,3,1,3,complete,,,Complete,social_proof,hightrust_socialproof,0,0,
2026-05-22 23:40:34,2026-05-22 23:45:49,0,100,314,1,2026-05-22 23:45:49,R_2SB0IrgENa8wXtR,anonymous,EN,1,1,4,2,4,3,,,,,,4,5,4,4,7,5,5,5,5,5,5,1,5,complete,,,Complete,social_proof,lowtrust_socialproof,1,0.3333333333333333,QID16
2026-05-23 04:02:44,2026-05-23 04:05:38,0,100,174,1,2026-05-23 04:05:38,R_2CZWolMDb4OeT8F,anonymous,EN,1,1,2,1,2,2,2,2,2,2,7,,,,,,2,2,1,1,2,2,2,6,complete,,,Complete,scarcity,lowtrust_scarcity,0,0,
2026-05-23 06:22:50,2026-05-23 06:25:04,0,100,134,1,2026-05-23 06:25:06,R_2TTwqCPewi0o3iF,anonymous,EN,1,1,6,6,6,6,6,6,5,5,7,,,,,,6,2,6,6,5,1,1,6,complete,,,Complete,scarcity,hightrust_scarcity,1,0.3333333333333333,QID10
2026-05-23 06:27:24,2026-05-23 06:37:14,0,100,590,1,2026-05-23 06:37:15,R_8DQ6QjENuAhYEWR,anonymous,EN,1,1,4,4,4,4,3,3,5,3,7,,,,,,5,4,5,5,4,4,2,1,complete,,,Complete,scarcity,lowtrust_scarcity,1,0.3333333333333333,QID10
2026-05-23 08:06:36,2026-05-23 08:10:59,0,100,262,1,2026-05-23 08:10:59,R_2B5NuAgHlhBCtw6,anonymous,EN,1,1,6,3,6,6,,,,,,6,6,6,6,7,4,2,3,3,1,1,1,4,complete,,,Complete,social_proof,hightrust_socialproof,0,0,
